1777557574: mosquitto version 2.0.22 starting
1777557574: Config loaded from /mosquitto/config/mosquitto.conf.
1777557574: Opening ipv4 listen socket on port 1883.
1777557574: Opening ipv6 listen socket on port 1883.
1777557574: mosquitto version 2.0.22 running
1777559375: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777561176: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777562977: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777564778: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777566579: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777568380: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777570181: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777571982: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777573783: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777575584: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777577385: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777579186: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777580987: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777582788: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777584589: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777586390: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777588191: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777589992: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777591793: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777593594: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777595395: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777597196: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777598997: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777600798: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777602599: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777604400: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777606201: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777608002: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777609803: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777611130: mosquitto version 2.0.22 starting
1777611130: Config loaded from /mosquitto/config/mosquitto.conf.
1777611130: Opening ipv4 listen socket on port 1883.
1777611130: Opening ipv6 listen socket on port 1883.
1777611130: mosquitto version 2.0.22 running
1777612930: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777614731: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777616532: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777618333: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777620134: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777621935: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777623736: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777625537: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777627338: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777629139: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777630940: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777632741: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777634542: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777636343: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777638144: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777639945: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777641746: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777643547: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777645348: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777647149: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777648950: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777650751: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777652552: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777654353: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777656154: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777657955: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777659756: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777661557: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777663358: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777665159: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777666960: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777668761: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777670562: Saving in-memory database to /mosquitto/data//mosquitto.db.
